variable_id,display_name,group,layer,economic_block,frequency,unit,model_tier,persistence_policy,observed_start,observed_end,coverage_rate,risk,na_summary,notes
gro.enterprise_boom,企业景气指数,宏观,RAW_STATE,Growth,quarterly,指数,SUPPLEMENTAL,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,季度频率; 与企业家信心指数同表
gro.export_yoy,出口同比,宏观,RAW_STATE,Growth,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,升级核心前须验证增量
gro.fai_official_cum,固投官方累计同比,宏观,RAW_STATE,Growth,monthly,%,Current,PERIODIC_REQUIRE_FRESHNESS,2021-09,2026-07,24.2%,,NOT_APPLICABLE=163;NOT_RELEASED=1;SOURCE_GAP=5,Baseline暂不用FAI
gro.gdp_abs,GDP绝对值(累计),宏观,RAW_STATE,Growth,quarterly,亿元,Extended,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,可相减得单季名义
gro.gdp_yoy,GDP同比(累计),宏观,RAW_STATE,Growth,quarterly,%,Baseline,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,slow-moving state; 勿制造月度GDP; 勿把累计同比相减当单季
gro.import_yoy,进口同比,宏观,RAW_STATE,Growth,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,
gro.ip_cum_yoy,工业增加值累计同比,宏观,RAW_STATE,Growth,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-03,2026-07,99.1%,,NOT_APPLICABLE=1;NOT_RELEASED=1,
gro.ip_yoy,工业增加值同比,宏观,RAW_STATE,Growth,monthly,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-03,2026-07,99.1%,,NOT_APPLICABLE=1;NOT_RELEASED=1,release_date不可靠段已保守处理
gro.pmi,制造业PMI,宏观,RAW_STATE,Growth,monthly,指数,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,已季调
gro.pmi_composite,PMI综合产出指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2021-10,2026-07,26.0%,,NOT_APPLICABLE=164;NOT_RELEASED=1,
gro.pmi_employment,PMI从业人员指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2018-01,2026-07,46.2%,,NOT_APPLICABLE=119;NOT_RELEASED=1,
gro.pmi_new_orders,PMI新订单指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2018-01,2026-07,46.2%,,NOT_APPLICABLE=119;NOT_RELEASED=1,
gro.pmi_nonmanufacturing,PMI非制造业商务活动指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2021-10,2026-07,26.0%,,NOT_APPLICABLE=164;NOT_RELEASED=1,
gro.pmi_production,PMI生产指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2018-01,2026-07,46.2%,,NOT_APPLICABLE=119;NOT_RELEASED=1,审核P0-6拆分
gro.pmi_raw_material_inventory,PMI原材料库存指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2018-01,2026-07,46.2%,,NOT_APPLICABLE=119;NOT_RELEASED=1,
gro.pmi_supplier_delivery,PMI供应商配送时间指数,宏观,RAW_STATE,Growth,monthly,指数,Extended,PERIODIC_REQUIRE_FRESHNESS,2018-01,2026-07,46.2%,,NOT_APPLICABLE=119;NOT_RELEASED=1,逆指数(合成时反向)
gro.retail_yoy,社会消费品零售同比,宏观,RAW_STATE,Growth,monthly,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,官方2026-07=0.6%
hh.consumer_confidence,消费者信心指数,居民,RAW_STATE,Household,monthly,指数,SUPPLEMENTAL,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,发布连续性/历史修订Step2.2核验
hh.consumer_satisfaction,消费者满意指数,居民,RAW_STATE,Household,monthly,指数,SUPPLEMENTAL,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,与信心指数同表分列
hh.deposit,居民储蓄存款,居民,RAW_STATE,Household,monthly,亿元,Current,PERIODIC_REQUIRE_FRESHNESS,2015-02,2026-07,61.9%,,NOT_APPLICABLE=84;NOT_RELEASED=1,"manual_deposit_bridge全量替换(2015+住户存款余额, 覆盖v1的2024-02起30行子集); 面板PIT对齐29月100%一致"
hh.deposit_hist,储蓄存款(货币明细1978+),居民,RAW_STATE,Household,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2015-03,37.7%,HIGH,SOURCE_GAP=139,"口径断裂不伪装连续; 2015+由hh.deposit(住户存款)承接; 标准化层保持v3源, 月度层处理口径"
hh.income_annual,居民人均可支配收入(年度),居民,RAW_STATE,Household,annual,元,Extended,LOW_FREQ_HOLD_WITH_STALE,2014-03,2021-09,40.8%,,NOT_APPLICABLE=71;NOT_RELEASED=3;HANDOFF_TO_QUARTERLY=58,衔接季度表FY段
hh.income_quarterly,居民人均可支配收入(季度累计),居民,RAW_STATE,Household,quarterly,元,Extended,LOW_FREQ_HOLD_WITH_STALE,2021-10,2026-07,26.0%,,NOT_APPLICABLE=164;NOT_RELEASED=1,迁移重发报告标题年判定
inf.cpi_core,核心CPI同比,宏观,RAW_STATE,Inflation,monthly,%,Current,PERIODIC_REQUIRE_FRESHNESS,2021-02,2026-07,29.6%,,NOT_APPLICABLE=156;NOT_RELEASED=1,max_stale保持0(审核P0-2: 缺口补齐不改stale语义); 锚点2021-10=1.3/2026-07=0.9核验过
inf.cpi_yoy,CPI同比,宏观,RAW_STATE,Inflation,monthly,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,当月值列=100+同比口径
inf.enterprise_goods,企业商品价格指数,宏观,RAW_STATE,Inflation,monthly,指数,SUPPLEMENTAL,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,央行企业商品价格; 与PPI关系待定
inf.ppi_yoy,PPI同比,宏观,RAW_STATE,Inflation,monthly,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,
inf.ppirm,PPIRM同比(工业生产者购进价格),宏观,RAW_STATE,Inflation,monthly,%,Current,PERIODIC_REQUIRE_FRESHNESS,2021-02,2026-07,29.6%,,NOT_APPLICABLE=156;NOT_RELEASED=1,2021-01基期切换(官方称影响~0.05pp); 不机械拆regime(审核P1-7); max_stale保持0; manual_ppirm全量替换
liq.afre_stock_yoy_official,社融存量同比(官方),货币金融,RAW_STATE,Liquidity,monthly,%,EXTENDED,PERIODIC_REQUIRE_FRESHNESS,2015-02,2026-07,46.6%,,NOT_APPLICABLE=11;SOURCE_GAP=34;RETROSPECTIVE_NOT_AVAILABLE=74,审核P0-7三层方案: official主源; 2017-19段行级RETROSPECTIVE_COMPARABLE(available=2020-01-31); 早期仅官方年末/季末值其余structural NA(源文件observation_status标注); derived保留作cross-check(Step2.5)
liq.cbb,央行资产负债表,货币金融,RAW_STATE,Liquidity,monthly,亿元,Supplemental,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,结构复杂缺失多
liq.fx_loans_change,外汇贷款(当月变化),货币金融,RAW_STATE,Liquidity,monthly,亿美元,SUPPLEMENTAL,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,"审核P0-5确认: em_whxd BASE列=当月变化量(flow, 2026-07=-8/04=-264有正负)非余额; 单位亿美元"
liq.m0_yoy,M0同比,货币金融,RAW_STATE,Liquidity,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,
liq.m1_yoy,M1同比,货币金融,RAW_STATE,Liquidity,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,2008-2024旧口径
liq.m2_yoy,M2同比,货币金融,RAW_STATE,Liquidity,monthly,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,用同比非余额水平
liq.money_detail,货币供应明细(1978+),货币金融,RAW_STATE,Liquidity,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,长历史参考
liq.total_deposits_change,金融机构本外币存款(当月新增),货币金融,RAW_STATE,Liquidity,monthly,亿元,EXTENDED,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,"审核P0-6确认: em_wbck BASE列=当月新增(flow)非余额(2026-06=19429.65亿/05=18180.21亿, 余额应为百万亿级); 余额列不存在于源表"
mar.market_balance,全市场融资余额,货币金融,RAW_STATE,Margin,MIXED,亿元,Extended,PERIODIC_REQUIRE_FRESHNESS,2011-01,2026-07,78.9%,,NOT_APPLICABLE=35;NOT_RELEASED=1;SOURCE_GAP=9;STALE_SOURCE=2,"混合频率: 2010-FY~2011-FY=年度观测(融资融券2010-03试点全年汇总), 2012-01起=月度; manual_market_balance补充2025-02~2026-07; 面板PIT对齐差0.001%"
mar.stock_turnover,沪深股票成交额,货币金融,RAW_STATE,Market,monthly,亿元,EXTENDED,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,市场数据当日收盘可知; 沪/深合并口径
mar.sz_monthly,深市融资余额(月度),货币金融,RAW_STATE,Margin,monthly,元,Current,PERIODIC_REQUIRE_FRESHNESS,2010-04,2026-07,87.9%,,NOT_APPLICABLE=26;NOT_RELEASED=1,深市代理用于Current
mkt.000985,中证全指,资本,RAW_STATE,Market,daily,指数点,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,广义A股宽基价格参考(审计后重建源)
mkt.hs300_510300,沪深300全收益代理(ETF),资本,RAW_STATE,Market,daily,净值,Extended,MARKET_LAST_VALID,2012-05,2026-07,76.7%,,NOT_APPLICABLE=52,含费口径; ETF核对用不替代H00300
mkt.hs300_price,沪深300价格,资本,RAW_STATE,Market,daily,指数点,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,"用于构造momentum/drawdown, 点位不作predictor"
mkt.hs300_tri,沪深300全收益(TRI),资本,RAW_STATE,Market,daily,指数点,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,主因变量TRI; 目标源不直接作特征
mkt.hs300_volume,沪深300成交量,资本,RAW_STATE,Market,daily,SOURCE_NATIVE待核,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,"字段名volume, 单位待核(勿当成交额/元)"
mkt.sh000001,上证综指,资本,RAW_STATE,Market,daily,指数点,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,宽基参考
mkt.sz399001,深证成指,资本,RAW_STATE,Market,daily,指数点,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,宽基参考
rate.cn10y,中国10年国债收益率,货币金融,RAW_STATE,Rates,daily,%,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,利率主锚
rate.cn2y,中国2年国债收益率,货币金融,RAW_STATE,Rates,daily,%,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,期限利差构成
rate.cn30y,中国30年国债收益率,货币金融,RAW_STATE,Rates,daily,%,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,
rate.cn5y,中国5年国债收益率,货币金融,RAW_STATE,Rates,daily,%,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,
rate.fdr007_mean,FDR007回购定盘利率,货币金融,RAW_STATE,Rates,daily,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2017-06,2025-12,46.2%,HIGH,NOT_APPLICABLE=112;SOURCE_GAP=7;COVERAGE_LOW=1,存款类机构资金价
rate.fr007_mean,FR007回购定盘利率,货币金融,RAW_STATE,Rates,daily,%,Baseline,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,100.0%,,,短端资金主利率; 模型用fr007_monthly
rate.lpr1y,LPR 1年期,货币金融,RAW_STATE,Rates,event,%,Extended,EVENT_PERSIST_UNTIL_NEXT,2019-08,2026-07,37.7%,,NOT_APPLICABLE=139,贷款定价锚
rate.lpr5y,LPR 5年期,货币金融,RAW_STATE,Rates,event,%,Extended,EVENT_PERSIST_UNTIL_NEXT,2019-08,2026-07,37.7%,,NOT_APPLICABLE=139,同lpr1y过滤规则
rate.policy7d,7天逆回购政策利率,货币金融,RAW_STATE,Rates,event,%,Extended,EVENT_PERSIST_UNTIL_NEXT,2015-01,2026-07,62.3%,,NOT_APPLICABLE=84,2024-07-22起为主要政策利率
rate.rrr_announced,存款准备金率(公布口径),货币金融,RAW_STATE,Rates,event,%,Extended,EVENT_PERSIST_UNTIL_NEXT,2008-01,2026-07,100.0%,,,58条
rate.rrr_effective,存款准备金率(生效口径),货币金融,RAW_STATE,Rates,event,%,Extended,EVENT_PERSIST_UNTIL_NEXT,2008-01,2026-07,100.0%,,,58条
rate.shibor3m_mean,SHIBOR 3M,货币金融,RAW_STATE,Rates,daily,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,91.0%,,SOURCE_GAP=6;COVERAGE_LOW=14,Baseline备选(FR007优先); canonical 4555天
rate.shibor_on_mean,SHIBOR O/N,货币金融,RAW_STATE,Rates,daily,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2026-07,91.0%,,SOURCE_GAP=6;COVERAGE_LOW=14,隔夜资金价
rate.us10y,美国10年国债收益率,货币金融,RAW_STATE,Rates,daily,%,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,"中美利差/扩展用; 跨时区: 美国D日收盘中国D+1可知(PIT层 FOREIGN_MARKET_T1_ASIA, 审核P1-1)"
val.pb,沪深300市净率,资本,RAW_STATE,Valuation,daily,倍,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,估值锚
val.pe_median,沪深300市盈率中位数,资本,RAW_STATE,Valuation,daily,倍,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,横截面分布参考
val.pe_static,沪深300静态市盈率,资本,RAW_STATE,Valuation,daily,倍,Extended,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,口径参考
val.pe_ttm,沪深300滚动市盈率(TTM),资本,RAW_STATE,Valuation,daily,倍,Baseline,MARKET_LAST_VALID,2008-01,2026-07,100.0%,,,估值锚; EY=1/PE; 弃静态/中位/等权
afre_yoy,官方直接同比 2015-02 起(年末/季度低频hold); 2017-19追溯段2020-01-31后进入,货币金融,FEATURE,CREDIT,monthly,PCT,EXTENDED,,2015-02,2026-07,46.6%,,NOT_RELEASED=85;STALE_SOURCE=34,官方直接同比(as-of)
delta_pmi,PMI环比,宏观,FEATURE,GROWTH,monthly,POINT,BASELINE,,2008-03,2026-07,99.1%,,NOT_RELEASED=2,PMI_t - PMI_t-1 (ref连续)
ey,盈利收益率,资本,FEATURE,VALUATION,monthly,PCT,BASELINE,,2008-01,2026-07,100.0%,,,100/PE_ttm
eyg,股债估值差(不称ERP),资本,FEATURE,VALUATION,monthly,PP,BASELINE,,2008-01,2026-07,100.0%,,,100/PE_ttm - cn10y
fr007_p90,资金面压力(辅助),货币金融,FEATURE,RATES,monthly,PCT,SUPPLEMENTAL,,2008-01,2026-07,100.0%,,,月内P90
fr007_vol,资金面波动(辅助),货币金融,FEATURE,RATES,monthly,PCT,SUPPLEMENTAL,,2008-01,2026-07,100.0%,,,月内样本std
loans_12m,12M贷款滚动和,货币金融,FEATURE,CREDIT,monthly,CNY_100M,BASELINE,,2009-01,2026-07,94.6%,,NOT_RELEASED=1;INSUFFICIENT_HISTORY=11,Σ12连续参考月 new_loan
m1_m2_gap,流动性先行(待实证),货币金融,FEATURE,LIQUIDITY,monthly,PP,EXTENDED,,2008-02,2026-07,99.6%,,NOT_RELEASED=1,m1_yoy - m2_yoy
pmi_gap,PMI荣枯线余量,宏观,FEATURE,GROWTH,monthly,POINT,BASELINE,,2008-02,2026-07,99.6%,,NOT_RELEASED=1,gro.pmi - 50
term_spread,期限利差,货币金融,FEATURE,RATES,monthly,PP,BASELINE,,2008-01,2026-07,100.0%,,,cn10y - cn2y
